replicate_id,time,infected_fraction
0,0,0.025
0,1,0.05
0,2,0.09
0,3,0.15
0,4,0.195
0,5,0.24
0,6,0.32
0,7,0.415
0,8,0.495
0,9,0.54
0,10,0.525
0,11,0.5
0,12,0.465
0,13,0.43
0,14,0.42
0,15,0.395
0,16,0.385
0,17,0.355
0,18,0.345
0,19,0.33
0,20,0.305
0,21,0.265
0,22,0.23
0,23,0.215
0,24,0.185
0,25,0.17
0,26,0.165
0,27,0.155
0,28,0.12
0,29,0.11
0,30,0.1
0,31,0.09
0,32,0.07
0,33,0.06
0,34,0.055
0,35,0.055
0,36,0.045
0,37,0.045
0,38,0.045
0,39,0.04
0,40,0.04
0,41,0.04
0,42,0.04
0,43,0.04
0,44,0.03
0,45,0.03
0,46,0.03
0,47,0.025
0,48,0.02
0,49,0.02
0,50,0.015
0,51,0.015
0,52,0.015
0,53,0.015
0,54,0.015
0,55,0.01
0,56,0.01
0,57,0.01
0,58,0.005
0,59,0.005
0,60,0.005
0,61,0.005
0,62,0.005
0,63,0.005
0,64,0.005
0,65,0.005
0,66,0.005
0,67,0.005
0,68,0.005
0,69,0.005
0,70,0.005
0,71,0.005
0,72,0.005
0,73,0.005
0,74,0.005
0,75,0.005
0,76,0.005
0,77,0.005
0,78,0.005
0,79,0.005
0,80,0.005
0,81,0.005
0,82,0.005
0,83,0.005
0,84,0.005
0,85,0.005
0,86,0.005
0,87,0.005
0,88,0.005
0,89,0.005
0,90,0.005
0,91,0.005
0,92,0.005
0,93,0.005
0,94,0.005
0,95,0.005
0,96,0.005
0,97,0.005
0,98,0.005
0,99,0.005
0,100,0.005
0,101,0.005
0,102,0.005
0,103,0.005
0,104,0.005
0,105,0.005
0,106,0.005
0,107,0.005
0,108,0.005
0,109,0.005
0,110,0.005
0,111,0.005
0,112,0.005
0,113,0.005
0,114,0.005
0,115,0.005
0,116,0.0
0,117,0.0
0,118,0.0
0,119,0.0
0,120,0.0
0,121,0.0
0,122,0.0
0,123,0.0
0,124,0.0
0,125,0.0
0,126,0.0
0,127,0.0
0,128,0.0
0,129,0.0
0,130,0.0
0,131,0.0
0,132,0.0
0,133,0.0
0,134,0.0
0,135,0.0
0,136,0.0
0,137,0.0
0,138,0.0
0,139,0.0
0,140,0.0
0,141,0.0
0,142,0.0
0,143,0.0
0,144,0.0
0,145,0.0
0,146,0.0
0,147,0.0
0,148,0.0
0,149,0.0
0,150,0.0
0,151,0.0
0,152,0.0
0,153,0.0
0,154,0.0
0,155,0.0
0,156,0.0
0,157,0.0
0,158,0.0
0,159,0.0
0,160,0.0
0,161,0.0
0,162,0.0
0,163,0.0
0,164,0.0
0,165,0.0
0,166,0.0
0,167,0.0
0,168,0.0
0,169,0.0
0,170,0.0
0,171,0.0
0,172,0.0
0,173,0.0
0,174,0.0
0,175,0.0
0,176,0.0
0,177,0.0
0,178,0.0
0,179,0.0
0,180,0.0
0,181,0.0
0,182,0.0
0,183,0.0
0,184,0.0
0,185,0.0
0,186,0.0
0,187,0.0
0,188,0.0
0,189,0.0
0,190,0.0
0,191,0.0
0,192,0.0
0,193,0.0
0,194,0.0
0,195,0.0
0,196,0.0
0,197,0.0
0,198,0.0
0,199,0.0
0,200,0.0
1,0,0.025
1,1,0.05
1,2,0.08
1,3,0.085
1,4,0.155
1,5,0.23
1,6,0.34
1,7,0.455
1,8,0.565
1,9,0.655
1,10,0.65
1,11,0.605
1,12,0.575
1,13,0.52
1,14,0.47
1,15,0.445
1,16,0.41
1,17,0.36
1,18,0.33
1,19,0.3
1,20,0.29
1,21,0.25
1,22,0.225
1,23,0.205
1,24,0.18
1,25,0.17
1,26,0.155
1,27,0.15
1,28,0.14
1,29,0.13
1,30,0.125
1,31,0.12
1,32,0.115
1,33,0.11
1,34,0.095
1,35,0.09
1,36,0.075
1,37,0.06
1,38,0.06
1,39,0.06
1,40,0.05
1,41,0.045
1,42,0.04
1,43,0.04
1,44,0.04
1,45,0.04
1,46,0.04
1,47,0.025
1,48,0.02
1,49,0.02
1,50,0.015
1,51,0.015
1,52,0.01
1,53,0.01
1,54,0.01
1,55,0.01
1,56,0.01
1,57,0.01
1,58,0.01
1,59,0.01
1,60,0.005
1,61,0.0
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,0.0
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.0
1,88,0.0
1,89,0.0
1,90,0.0
1,91,0.0
1,92,0.0
1,93,0.0
1,94,0.0
1,95,0.0
1,96,0.0
1,97,0.0
1,98,0.0
1,99,0.0
1,100,0.0
1,101,0.0
1,102,0.0
1,103,0.0
1,104,0.0
1,105,0.0
1,106,0.0
1,107,0.0
1,108,0.0
1,109,0.0
1,110,0.0
1,111,0.0
1,112,0.0
1,113,0.0
1,114,0.0
1,115,0.0
1,116,0.0
1,117,0.0
1,118,0.0
1,119,0.0
1,120,0.0
1,121,0.0
1,122,0.0
1,123,0.0
1,124,0.0
1,125,0.0
1,126,0.0
1,127,0.0
1,128,0.0
1,129,0.0
1,130,0.0
1,131,0.0
1,132,0.0
1,133,0.0
1,134,0.0
1,135,0.0
1,136,0.0
1,137,0.0
1,138,0.0
1,139,0.0
1,140,0.0
1,141,0.0
1,142,0.0
1,143,0.0
1,144,0.0
1,145,0.0
1,146,0.0
1,147,0.0
1,148,0.0
1,149,0.0
1,150,0.0
1,151,0.0
1,152,0.0
1,153,0.0
1,154,0.0
1,155,0.0
1,156,0.0
1,157,0.0
1,158,0.0
1,159,0.0
1,160,0.0
1,161,0.0
1,162,0.0
1,163,0.0
1,164,0.0
1,165,0.0
1,166,0.0
1,167,0.0
1,168,0.0
1,169,0.0
1,170,0.0
1,171,0.0
1,172,0.0
1,173,0.0
1,174,0.0
1,175,0.0
1,176,0.0
1,177,0.0
1,178,0.0
1,179,0.0
1,180,0.0
1,181,0.0
1,182,0.0
1,183,0.0
1,184,0.0
1,185,0.0
1,186,0.0
1,187,0.0
1,188,0.0
1,189,0.0
1,190,0.0
1,191,0.0
1,192,0.0
