replicate_id,degree,count
0,0,0
0,1,0
0,2,0
0,3,0
0,4,4
0,5,6
0,6,17
0,7,23
0,8,28
0,9,30
0,10,18
0,11,18
0,12,15
0,13,14
0,14,10
0,15,6
0,16,3
0,17,3
0,18,2
0,19,2
0,20,1
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
1,0,0
1,1,0
1,2,0
1,3,3
1,4,7
1,5,11
1,6,17
1,7,17
1,8,17
1,9,26
1,10,24
1,11,21
1,12,20
1,13,15
1,14,7
1,15,5
1,16,4
1,17,4
1,18,2
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
2,0,0
2,1,1
2,2,0
2,3,0
2,4,4
2,5,4
2,6,17
2,7,16
2,8,25
2,9,23
2,10,24
2,11,26
2,12,19
2,13,10
2,14,10
2,15,4
2,16,8
2,17,2
2,18,4
2,19,0
2,20,3
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
3,0,0
3,1,0
3,2,0
3,3,1
3,4,3
3,5,10
3,6,15
3,7,17
3,8,18
3,9,19
3,10,30
3,11,26
3,12,23
3,13,14
3,14,11
3,15,6
3,16,2
3,17,2
3,18,0
3,19,3
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
4,0,0
4,1,0
4,2,0
4,3,1
4,4,4
4,5,10
4,6,10
4,7,26
4,8,20
4,9,24
4,10,30
4,11,19
4,12,15
4,13,14
4,14,10
4,15,5
4,16,7
4,17,4
4,18,0
4,19,1
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
5,0,0
5,1,0
5,2,0
5,3,1
5,4,3
5,5,3
5,6,13
5,7,25
5,8,11
5,9,24
5,10,29
5,11,29
5,12,16
5,13,17
5,14,11
5,15,12
5,16,2
5,17,1
5,18,1
5,19,1
5,20,0
5,21,1
5,22,0
5,23,0
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
6,0,0
6,1,0
6,2,1
6,3,0
6,4,2
6,5,4
6,6,13
6,7,22
6,8,21
6,9,25
6,10,26
6,11,16
6,12,20
6,13,18
6,14,7
6,15,7
6,16,6
6,17,5
6,18,4
6,19,0
6,20,2
6,21,0
6,22,0
6,23,1
6,24,0
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,0
7,0,0
7,1,0
7,2,0
7,3,1
7,4,3
7,5,8
7,6,10
7,7,18
7,8,30
7,9,19
7,10,23
7,11,25
7,12,22
7,13,18
7,14,11
7,15,7
7,16,2
7,17,1
7,18,1
7,19,1
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
7,25,0
7,26,0
7,27,0
7,28,0
7,29,0
7,30,0
8,0,0
8,1,0
8,2,0
8,3,2
8,4,8
8,5,11
8,6,13
8,7,21
8,8,20
8,9,21
8,10,15
8,11,31
8,12,23
8,13,16
8,14,10
8,15,5
8,16,2
8,17,1
8,18,1
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
8,25,0
8,26,0
8,27,0
8,28,0
8,29,0
8,30,0
9,0,0
9,1,0
9,2,1
9,3,2
9,4,5
9,5,5
9,6,15
9,7,23
9,8,23
9,9,18
9,10,22
9,11,14
9,12,24
9,13,15
9,14,13
9,15,7
9,16,8
9,17,2
9,18,2
9,19,0
9,20,0
9,21,0
9,22,1
9,23,0
9,24,0
9,25,0
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
10,0,0
10,1,0
10,2,1
10,3,6
10,4,6
10,5,14
10,6,14
10,7,23
10,8,19
10,9,23
10,10,27
10,11,21
10,12,14
10,13,10
10,14,9
10,15,4
10,16,2
10,17,5
10,18,1
10,19,0
10,20,1
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
11,0,0
11,1,0
11,2,0
11,3,3
11,4,6
11,5,9
11,6,14
11,7,30
11,8,20
11,9,20
11,10,25
11,11,27
11,12,17
11,13,7
11,14,11
11,15,4
11,16,4
11,17,2
11,18,0
11,19,0
11,20,1
11,21,0
11,22,0
11,23,0
11,24,0
11,25,0
11,26,0
11,27,0
11,28,0
11,29,0
11,30,0
12,0,0
12,1,0
12,2,0
12,3,1
12,4,3
12,5,9
12,6,10
12,7,13
12,8,24
12,9,26
12,10,32
12,11,23
12,12,26
12,13,12
12,14,11
12,15,5
12,16,1
12,17,0
12,18,1
12,19,1
12,20,2
12,21,0
12,22,0
12,23,0
12,24,0
12,25,0
12,26,0
12,27,0
12,28,0
12,29,0
12,30,0
13,0,0
13,1,0
13,2,0
13,3,2
13,4,4
13,5,6
13,6,14
13,7,11
13,8,16
13,9,23
13,10,30
13,11,20
13,12,23
13,13,14
13,14,14
13,15,11
13,16,6
13,17,3
13,18,3
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
13,25,0
13,26,0
13,27,0
13,28,0
13,29,0
13,30,0
14,0,0
14,1,0
14,2,0
14,3,4
14,4,3
14,5,11
14,6,16
14,7,11
14,8,25
14,9,37
14,10,21
14,11,23
14,12,14
14,13,9
14,14,4
14,15,14
14,16,5
14,17,1
14,18,1
14,19,0
14,20,1
14,21,0
14,22,0
14,23,0
14,24,0
14,25,0
14,26,0
14,27,0
14,28,0
14,29,0
14,30,0
15,0,0
15,1,1
15,2,0
15,3,1
15,4,2
15,5,7
15,6,14
15,7,22
15,8,32
15,9,17
15,10,24
15,11,20
15,12,19
15,13,11
15,14,12
15,15,10
15,16,4
15,17,3
15,18,1
15,19,0
15,20,0
15,21,0
15,22,0
15,23,0
15,24,0
15,25,0
15,26,0
15,27,0
15,28,0
15,29,0
15,30,0
16,0,0
16,1,0
16,2,1
16,3,1
16,4,3
16,5,6
16,6,15
16,7,25
16,8,23
16,9,31
16,10,19
16,11,20
16,12,16
16,13,10
16,14,13
16,15,7
16,16,4
16,17,2
16,18,4
16,19,0
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
16,25,0
16,26,0
16,27,0
16,28,0
16,29,0
16,30,0
17,0,0
17,1,0
17,2,0
17,3,4
17,4,6
17,5,6
17,6,10
17,7,15
17,8,22
17,9,17
17,10,24
17,11,26
17,12,18
17,13,19
17,14,6
17,15,14
17,16,11
17,17,0
17,18,1
17,19,0
17,20,0
17,21,1
17,22,0
17,23,0
17,24,0
17,25,0
17,26,0
17,27,0
17,28,0
17,29,0
17,30,0
18,0,0
18,1,0
18,2,0
18,3,0
18,4,2
18,5,8
18,6,10
18,7,22
18,8,24
18,9,33
18,10,23
18,11,27
18,12,17
18,13,12
18,14,13
18,15,2
18,16,5
18,17,1
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,1
18,24,0
18,25,0
18,26,0
18,27,0
18,28,0
18,29,0
18,30,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,3
19,5,7
19,6,20
19,7,20
19,8,17
19,9,30
19,10,25
19,11,19
19,12,22
19,13,11
19,14,12
19,15,7
19,16,3
19,17,2
19,18,1
19,19,0
19,20,1
19,21,0
19,22,0
19,23,0
19,24,0
19,25,0
19,26,0
19,27,0
19,28,0
19,29,0
19,30,0
20,0,0
20,1,0
